"","country","sex","total_suicides","total_pop","suicides_per_100k","latitude","longitude"
"1","Albania","female",0,1345679,0,41.153332,20.218331
"2","Albania","male",0,1374005,0,41.153332,20.168331
"3","Anguilla","female",0,7560,0,18.220554,-63.018615
"4","Anguilla","male",0,7440,0,18.220554,-63.068615
"5","Antigua and Barbuda","female",1,47990,2.08376745155241,17.060816,-61.746428
"6","Antigua and Barbuda","male",0,43899,0,17.060816,-61.796428
"7","Argentina","female",604,20346129,2.96862366300735,-38.416097,-63.566672
"8","Argentina","male",2469,19353495,12.7573856815009,-38.416097,-63.616672
"9","Armenia","female",19,1472585,1.29024810112829,40.069099,45.088189
"10","Armenia","male",55,1322750,4.15800415800416,40.069099,45.038189
"11","Aruba","female",2,51989,3.84696762776741,12.52111,-69.918338
"12","Aruba","male",7,46723,14.9819146886972,12.52111,-69.968338
"13","Australia","female",735,11201512,6.56161418208542,-25.274398,133.825136
"14","Australia","male",2292,11039273,20.7622367886001,-25.274398,133.775136
"15","Austria","female",290,4201798,6.90180727393368,47.516231,14.600072
"16","Austria","male",961,4017588,23.9198245315348,47.516231,14.550072
"17","Belarus","female",0,4793718,0,53.709807,28.003389
"18","Belarus","male",0,4116629,0,53.709807,27.953389
"19","Belgium","female",552,5411388,10.2007100581219,50.503887,4.519936
"20","Belgium","male",1315,5212968,25.2255528904072,50.503887,4.469936
"21","Belize","female",4,160712,2.48892428692319,17.189877,-88.44765
"22","Belize","male",22,159123,13.8257825707157,17.189877,-88.49765
"23","Bermuda","female",0,33034,0,32.321384,-64.70737
"24","Bermuda","male",0,29990,0,32.321384,-64.75737
"25","Brazil","female",2397,97410044,2.46073187278306,-14.235004,-51.87528
"26","Brazil","male",8766,93677041,9.35768242295356,-14.235004,-51.92528
"27","Brunei Darussalam","female",2,186156,1.07436773458819,4.5353,114.7777
"28","Brunei Darussalam","male",5,197924,2.52622218629373,4.5353,114.7277
"29","Chile","female",378,8379071,4.51123996920422,-35.675147,-71.492969
"30","Chile","male",1460,8186654,17.833903814672,-35.675147,-71.542969
"31","Colombia","female",482,22655726,2.12749748121071,4.570868,-74.247333
"32","Colombia","male",1850,21834701,8.47275169923325,4.570868,-74.297333
"33","Croatia","female",197,2077384,9.48308064373269,45.1,15.25
"34","Croatia","male",542,1924285,28.1663059266169,45.1,15.2
"35","Cuba","female",300,5420186,5.53486540867786,21.521757,-77.731167
"36","Cuba","male",1211,5411882,22.3766889226336,21.521757,-77.781167
"37","Cyprus","female",9,410382,2.19307864380017,35.126413,33.479859
"38","Cyprus","male",31,385655,8.03827254929924,35.126413,33.429859
"39","Czech Republic","female",254,5092903,4.98733237212647,49.817492,15.522962
"40","Czech Republic","male",1133,4896422,23.1393454240668,49.817492,15.472962
"41","Denmark","female",174,2711902,6.41616105596736,56.26392,9.551785
"42","Denmark","male",390,2671158,14.6004092607027,56.26392,9.501785
"43","Dominica","female",1,35404,2.82453960004519,15.414999,-61.320976
"44","Dominica","male",4,36757,10.8822809260821,15.414999,-61.370976
"45","Ecuador","female",266,7286798,3.6504374074868,-1.831239,-78.133406
"46","Ecuador","male",807,7247226,11.1352950770405,-1.831239,-78.183406
"47","Egypt","female",13,38732094,0.0335638966486036,26.820553,30.852498
"48","Egypt","male",35,40153072,0.0871664314999361,26.820553,30.802498
"49","Estonia","female",36,664414,5.41830846430087,58.595272,25.063607
"50","Estonia","male",159,579036,27.4594325741405,58.595272,25.013607
"51","Finland","female",173,2637592,6.55901291784325,61.92411,25.798151
"52","Finland","male",558,2544205,21.9321949292608,61.92411,25.748151
"53","Georgia","female",48,1816600,2.64229879995596,42.315407,43.406892
"54","Georgia","male",144,1641800,8.77086124984773,42.315407,43.356892
"55","Germany","female",2685,39783984,6.74894701345144,51.165691,10.501526
"56","Germany","male",7403,38352699,19.3024224970451,51.165691,10.451526
"57","Greece","female",107,5336865,2.00492236547111,39.074208,21.874312
"58","Greece","male",422,4994421,8.44942787161915,39.074208,21.824312
"59","Grenada","female",0,48397,0,12.262776,-61.554171
"60","Grenada","male",0,48495,0,12.262776,-61.604171
"61","Guatemala","female",144,7282364,1.97737987279955,15.783471,-90.180759
"62","Guatemala","male",350,6976033,5.01717810107836,15.783471,-90.230759
"63","Hong Kong SAR","female",363,3790100,9.57758370491544,22.3193,114.2194
"64","Hong Kong SAR","male",627,3219400,19.475678697894,22.3193,114.1694
"65","Hungary","female",479,4930381,9.71527352551456,47.162494,19.553304
